LS-Nr.;Hausnr.;S-Bahnring;lat;lon;number;amount;lamp;name_lamp;picture;installed;bulb;brand;name_bulb;comparison;color;watt;energy_consumption;lifespan;lumen_per_watt;lumen;energy_efficiency;switching;structural_system;height
;;;;;2;1;SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2;Esslingen-Kandelaber;Nein;30.10.93;NAV-E70 4Y;Osram;Natrium-Dampflampen;>> Einsparung gegenÌ_ber einer GlÌ_hbirne 95%;niedrige Farbtemperatur, gelblich rote FÌ_rbung;70 W;70 kWh/1000;28.000 h;93 lm/W;6600 lm;n. a. ;01 GANZNACHT;;
42616-2110020-00;87;;52,55241345;13,41453082;1;1;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;22.06.93;NAV-E250*SUPER 4Y;Osram;Natrium-Dampflampen;>> Einsparung gegenÌ_ber einer GlÌ_hbirne 95%;niedrige Farbtemperatur, gelblich rote FÌ_rbung;250 W;281 kWh/1000h;48000 h;n. a. ;31600 lm;n. a. ;01 GANZNACHT;SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG;8,15
;;;;;2;1;SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2;Esslingen-Kandelaber;Nein;22.06.93;NAV-E70 4Y;Osram;Natrium-Dampflampen;>> Einsparung gegenÌ_ber einer GlÌ_hbirne 95%;niedrige Farbtemperatur, gelblich rote FÌ_rbung;70 W;70 kWh/1000;28.000 h;93 lm/W;6600 lm;n. a. ;01 GANZNACHT;;
42616-2110021-00;106;;52,55219427;13,41392158;1;1;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;29.10.93;NAV-E250*SUPER 4Y;Osram;Natrium-Dampflampen;>> Einsparung gegenÌ_ber einer GlÌ_hbirne 95%;niedrige Farbtemperatur, gelblich rote FÌ_rbung;250 W;281 kWh/1000h;48000 h;n. a. ;31600 lm;n. a. ;01 GANZNACHT;SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG;8,15
;;;;;2;1;SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2;Esslingen-Kandelaber;Nein;29.10.93;NAV-E70 4Y;Osram;Natrium-Dampflampen;>> Einsparung gegenÌ_ber einer GlÌ_hbirne 95%;niedrige Farbtemperatur, gelblich rote FÌ_rbung;70 W;70 kWh/1000;28.000 h;93 lm/W;6600 lm;n. a. ;01 GANZNACHT;;
42616-2110022-00;1;;52,55219478;13,41448109;1;1;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;28.07.93;NAV-E250*SUPER 4Y;Osram;Natrium-Dampflampen;>> Einsparung gegenÌ_ber einer GlÌ_hbirne 95%;niedrige Farbtemperatur, gelblich rote FÌ_rbung;250 W;281 kWh/1000h;48000 h;n. a. ;31600 lm;n. a. ;01 GANZNACHT;SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG;8,15
;;;;;2;1;SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2;Esslingen-Kandelaber;Nein;28.07.93;NAV-E70 4Y;Osram;Natrium-Dampflampen;>> Einsparung gegenÌ_ber einer GlÌ_hbirne 95%;niedrige Farbtemperatur, gelblich rote FÌ_rbung;70 W;70 kWh/1000;28.000 h;93 lm/W;6600 lm;n. a. ;01 GANZNACHT;;
42616-2110023-00;107;;52,55194408;13,41391116;1;1;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;29.10.93;NAV-E250*SUPER 4Y;Osram;Natrium-Dampflampen;>> Einsparung gegenÌ_ber einer GlÌ_hbirne 95%;niedrige Farbtemperatur, gelblich rote FÌ_rbung;250 W;281 kWh/1000h;48000 h;n. a. ;31600 lm;n. a. ;01 GANZNACHT;SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG;8,15
;;;;;2;1;SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2;Esslingen-Kandelaber;Nein;29.10.93;NAV-E70 4Y;Osram;Natrium-Dampflampen;>> Einsparung gegenÌ_ber einer GlÌ_hbirne 95%;niedrige Farbtemperatur, gelblich rote FÌ_rbung;70 W;70 kWh/1000;28.000 h;93 lm/W;6600 lm;n. a. ;01 GANZNACHT;;
42616-2110024-00;86;;52,55193267;13,41443317;1;1;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;28.07.93;NAV-E250*SUPER 4Y;Osram;Natrium-Dampflampen;>> Einsparung gegenÌ_ber einer GlÌ_hbirne 95%;niedrige Farbtemperatur, gelblich rote FÌ_rbung;250 W;281 kWh/1000h;48000 h;n. a. ;31600 lm;n. a. ;01 GANZNACHT;SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG;8,15
;;;;;2;1;SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2;Esslingen-Kandelaber;Nein;28.07.93;NAV-E70 4Y;Osram;Natrium-Dampflampen;>> Einsparung gegenÌ_ber einer GlÌ_hbirne 95%;niedrige Farbtemperatur, gelblich rote FÌ_rbung;70 W;70 kWh/1000;28.000 h;93 lm/W;6600 lm;n. a. ;01 GANZNACHT;;
42616-2110025-00;108;;52,55170453;13,41383344;1;1;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;30.10.93;NAV-E250*SUPER 4Y;Osram;Natrium-Dampflampen;>> Einsparung gegenÌ_ber einer GlÌ_hbirne 95%;niedrige Farbtemperatur, gelblich rote FÌ_rbung;250 W;281 kWh/1000h;48000 h;n. a. ;31600 lm;n. a. ;01 GANZNACHT;SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG;8,15
;;;;;2;1;SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2;Esslingen-Kandelaber;Nein;30.10.93;NAV-E70 4Y;Osram;Natrium-Dampflampen;>> Einsparung gegenÌ_ber einer GlÌ_hbirne 95%;niedrige Farbtemperatur, gelblich rote FÌ_rbung;70 W;70 kWh/1000;28.000 h;93 lm/W;6600 lm;n. a. ;01 GANZNACHT;;
42616-2110026-00;85;;52,55168725;13,4143887;1;1;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;28.07.93;NAV-E250*SUPER 4Y;Osram;Natrium-Dampflampen;>> Einsparung gegenÌ_ber einer GlÌ_hbirne 95%;niedrige Farbtemperatur, gelblich rote FÌ_rbung;250 W;281 kWh/1000h;48000 h;n. a. ;31600 lm;n. a. ;01 GANZNACHT;SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG;8,15
